timestamp,type,event_id,client_invoke_ms,lambda_duration_ms,lambda_init_ms,status_code,parse_ok
2025-12-30T03:55:24.809Z,COLD,test-cold-1767066924229,579,62.91,0,200,true
2025-12-30T04:25:45.179Z,COLD,test-cold-1767068743032,2146,1041.21,404.83,200,true
2025-12-30T04:56:07.321Z,COLD,test-cold-1767070565312,2009,1049.74,405.77,200,true
2025-12-30T05:26:29.873Z,COLD,test-cold-1767072387740,2133,1053.94,412.17,200,true
2025-12-30T05:56:53.932Z,COLD,test-cold-1767074211524,2406,1085.24,420.7,200,true
2025-12-30T06:27:17.689Z,COLD,test-cold-1767076035331,2358,1054.84,417.3,200,true
2025-12-30T06:57:41.301Z,COLD,test-cold-1767077859153,2148,1086.03,436.66,200,true
2025-12-30T07:28:05.166Z,COLD,test-cold-1767079682918,2248,1073.8,418.77,200,true
2025-12-30T07:58:29.717Z,COLD,test-cold-1767081507506,2211,1026.31,364.03,200,true
2025-12-30T08:28:53.583Z,COLD,test-cold-1767083331476,2107,1066.12,409.63,200,true
2025-12-30T08:28:56.398Z,WARM,test-warm-1767083336195,202,62.61,0,200,true
2025-12-30T08:28:56.603Z,WARM,test-warm-1767083336399,203,28.1,0,200,true
2025-12-30T08:28:56.781Z,WARM,test-warm-1767083336604,177,25.1,0,200,true
2025-12-30T08:28:57.109Z,WARM,test-warm-1767083336782,327,26.88,0,200,true
2025-12-30T08:28:57.277Z,WARM,test-warm-1767083337110,167,38.12,0,200,true
2025-12-30T08:28:57.455Z,WARM,test-warm-1767083337278,177,49.26,0,200,true
2025-12-30T08:28:57.677Z,WARM,test-warm-1767083337457,220,52.42,0,200,true
2025-12-30T08:28:58.922Z,WARM,test-warm-1767083337679,1243,1028.36,0,200,true
2025-12-30T08:28:59.177Z,WARM,test-warm-1767083338924,253,61.97,0,200,true
2025-12-30T08:28:59.398Z,WARM,test-warm-1767083339178,220,50.62,0,200,true
2025-12-30T08:28:59.646Z,WARM,test-warm-1767083339399,247,52.14,0,200,true
2025-12-30T08:28:59.837Z,WARM,test-warm-1767083339647,190,53.5,0,200,true
2025-12-30T08:29:00.056Z,WARM,test-warm-1767083339838,218,50.89,0,200,true
2025-12-30T08:29:00.232Z,WARM,test-warm-1767083340057,175,32.5,0,200,true
2025-12-30T08:29:00.410Z,WARM,test-warm-1767083340233,177,33.5,0,200,true
2025-12-30T08:29:00.573Z,WARM,test-warm-1767083340411,162,32.27,0,200,true
2025-12-30T08:29:00.772Z,WARM,test-warm-1767083340574,198,29.77,0,200,true
2025-12-30T08:29:01.061Z,WARM,test-warm-1767083340773,288,57.16,0,200,true
2025-12-30T08:29:01.322Z,WARM,test-warm-1767083341063,259,47.25,0,200,true
2025-12-30T08:29:01.542Z,WARM,test-warm-1767083341323,218,46.95,0,200,true
2025-12-30T08:29:01.707Z,WARM,test-warm-1767083341542,165,26.98,0,200,true
2025-12-30T08:29:01.977Z,WARM,test-warm-1767083341708,269,59.51,0,200,true
2025-12-30T08:29:02.229Z,WARM,test-warm-1767083341979,250,59.58,0,200,true
2025-12-30T08:29:02.398Z,WARM,test-warm-1767083342231,167,38.18,0,200,true
2025-12-30T08:29:02.617Z,WARM,test-warm-1767083342400,217,34.15,0,200,true
2025-12-30T08:29:02.780Z,WARM,test-warm-1767083342618,162,32.39,0,200,true
2025-12-30T08:29:02.980Z,WARM,test-warm-1767083342782,198,68.74,0,200,true
2025-12-30T08:29:03.205Z,WARM,test-warm-1767083342981,224,8.1,0,200,true
2025-12-30T08:29:03.430Z,WARM,test-warm-1767083343206,224,42.78,0,200,true
2025-12-30T08:29:03.599Z,WARM,test-warm-1767083343432,167,38.27,0,200,true
2025-12-30T08:29:03.857Z,WARM,test-warm-1767083343600,257,40.26,0,200,true
2025-12-30T08:29:04.014Z,WARM,test-warm-1767083343858,156,30.57,0,200,true
2025-12-30T08:29:04.182Z,WARM,test-warm-1767083344016,166,31.97,0,200,true
2025-12-30T08:29:04.445Z,WARM,test-warm-1767083344183,262,45.97,0,200,true
2025-12-30T08:29:04.579Z,WARM,test-warm-1767083344446,133,8.47,0,200,true
2025-12-30T08:29:04.762Z,WARM,test-warm-1767083344581,181,39.02,0,200,true
2025-12-30T08:29:04.917Z,WARM,test-warm-1767083344763,154,23.38,0,200,true
2025-12-30T08:29:05.086Z,WARM,test-warm-1767083344918,168,31.48,0,200,true
2025-12-30T08:29:05.237Z,WARM,test-warm-1767083345087,150,22.26,0,200,true
2025-12-30T08:29:05.411Z,WARM,test-warm-1767083345238,173,28.62,0,200,true
2025-12-30T08:29:05.575Z,WARM,test-warm-1767083345413,162,32.11,0,200,true
2025-12-30T08:29:05.736Z,WARM,test-warm-1767083345576,160,12.34,0,200,true
2025-12-30T08:29:05.935Z,WARM,test-warm-1767083345737,198,33.45,0,200,true
2025-12-30T08:29:06.093Z,WARM,test-warm-1767083345936,157,27.36,0,200,true
2025-12-30T08:29:06.321Z,WARM,test-warm-1767083346095,226,17.8,0,200,true
2025-12-30T08:29:06.474Z,WARM,test-warm-1767083346322,152,24.83,0,200,true
2025-12-30T08:29:06.652Z,WARM,test-warm-1767083346475,177,28.91,0,200,true
2025-12-30T08:29:06.811Z,WARM,test-warm-1767083346653,158,36.32,0,200,true
2025-12-30T08:29:06.987Z,WARM,test-warm-1767083346812,175,38.29,0,200,true
2025-12-30T08:29:07.249Z,WARM,test-warm-1767083346988,261,40.59,0,200,true
